,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,600,5,2,sqrt,118,False
1,200,10,1,sqrt,148,False
2,200,5,2,sqrt,11,False
3,100,5,2,sqrt,92,False
4,100,2,1,sqrt,92,True
5,400,2,2,sqrt,108,False
6,100,5,2,sqrt,148,False
7,300,5,1,sqrt,97,False
8,600,2,2,sqrt,128,False
9,400,2,1,sqrt,46,True
