,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,400,2,2,sqrt,194,False
1,100,2,1,sqrt,16,False
2,600,2,1,sqrt,118,False
3,100,2,2,sqrt,11,False
4,500,2,1,sqrt,169,False
5,300,2,2,sqrt,148,False
6,400,2,1,sqrt,57,False
7,100,5,1,sqrt,123,False
8,800,2,1,sqrt,36,False
9,200,2,1,sqrt,67,False
