,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,100,10,8,auto,154,True
1,200,5,1,auto,31,True
2,200,5,2,auto,26,True
3,200,5,8,auto,82,True
4,300,5,8,auto,72,True
5,700,2,4,auto,82,True
6,100,10,8,auto,67,True
7,800,2,4,auto,16,True
8,200,2,1,auto,118,True
9,400,10,8,auto,62,True
