,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,800,5,1,sqrt,159,False
1,400,5,1,sqrt,148,False
2,100,2,2,sqrt,194,False
3,400,2,2,sqrt,103,False
4,700,2,1,sqrt,21,False
5,100,2,1,sqrt,189,False
6,800,2,1,sqrt,108,False
7,1000,2,1,sqrt,108,False
8,900,5,1,sqrt,46,False
9,1000,5,1,sqrt,92,False
