Metal,Substrate,Me_MagpieData mean Column,Me_MagpieData mean CovalentRadius,Me_MagpieData mean NdValence,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1773,114.7
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1783,107.1
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1793,100.7
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1803,100
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1813,97.6
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1823,94.8
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1823,97
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1823,100
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1753,147
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1753,103
