Metal,Substrate,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean SpaceGroupNumber,Me_MagpieData mean GSmagmom,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,90
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,91
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,85
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,79
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,129
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,120
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,112
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,86
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1381,130
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1381,110
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1381,96
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1381,92
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1381,86
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1381,82.5
Cu,Y2O3,132,1.9,10,225,0,752.48,1.2,1423,145
Ag,Y2O3,145,1.93,10,225,0,752.48,1.2,1423,141
Au,Y2O3,136,2.54,10,225,0,752.48,1.2,1423,134
Sn,Y2O3,139,1.96,10,141,0,752.48,1.2,1423,84
Ge,Y2O3,120,2.01,10,225,0,752.48,1.2,1423,47
Cu,Gd2O3,132,1.9,10,225,0,667.28,1.2,1423,129
Ag,Gd2O3,145,1.93,10,225,0,667.28,1.2,1423,128
Au,Gd2O3,136,2.54,10,225,0,667.28,1.2,1423,127
Sn,Gd2O3,139,1.96,10,141,0,667.28,1.2,1423,81
Ge,Gd2O3,120,2.01,10,225,0,667.28,1.2,1423,43
Cu,Tb2O3,132,1.9,10,225,0,684.48,1.2,1423,148
Ag,Tb2O3,145,1.93,10,225,0,684.48,1.2,1423,137
Au,Tb2O3,136,2.54,10,225,0,684.48,1.2,1423,130
Sn,Tb2O3,139,1.96,10,141,0,684.48,1.2,1423,75
