Metal,Substrate,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean SpaceGroupNumber,Me_MagpieData mean GSmagmom,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Fe0.704Cr0.202Ni0.094,Al2O3,132.662,1.80318,5.986,228.624,1.541873713,406.268,3.2,1753,105
Fe,Mg0.5Al0.5O0.5N0.5,132,1.83,6,229,2.1106628,493.58,2.5,1823,129.7
Fe,Mg0.5Al0.5O0.5N0.5,132,1.83,6,229,2.1106628,493.58,2.5,1838,132.5
Fe,Mg0.5Al0.5O0.5N0.5,132,1.83,6,229,2.1106628,493.58,2.5,1848,130.4
Fe,Mg0.5Al0.5O0.5N0.5,132,1.83,6,229,2.1106628,493.58,2.5,1858,129.9
Fe,Mg0.5Al0.5O0.5N0.5,132,1.83,6,229,2.1106628,493.58,2.5,1873,129.5
Fe,Mg0.5Al0.5O0.5N0.5,132,1.83,6,229,2.1106628,493.58,2.5,1823,97
Fe,Mg0.5Al0.5O0.5N0.5,132,1.83,6,229,2.1106628,493.58,2.5,1823,78
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1743,112
Ni0.9Cr0.1,Al2O3,125.5,1.885,7.7,225.4,0.53585523,406.268,3.2,1743,95
Ni0.78Cr0.22,Al2O3,127.3,1.855,7.34,225.88,0.464407866,406.268,3.2,1743,90
Ni0.81Fe0.19,Al2O3,125.52,1.8948,7.62,225.76,0.883295639,406.268,3.2,1743,112
Ni0.632Fe0.148Cr0.22,Al2O3,128.484,1.84316,7.044,226.472,0.688667545,406.268,3.2,1743,90
Ni0.55Pd0.45,Al2O3,130.75,2.0405,8.9,225,0.327467085,406.268,3.2,1523,112
Ni0.549Pd0.351Cr0.1,Al2O3,130.765,1.98679,8.402,225.4,0.32687169,406.268,3.2,1523,112
Ni0.545Pd0.45Cr0.005,Al2O3,130.825,2.03925,8.885,225.02,0.324490112,406.268,3.2,1523,108
Ni0.583Pd0.405Cr0.012,Al2O3,130.255,2.02445,8.774,225.048,0.34711511,406.268,3.2,1523,110
Ni0.499Pd0.448Cr0.053,Al2O3,131.515,2.02667,8.737,225.212,0.297101955,406.268,3.2,1523,107
Ni0.4Pd0.445Cr0.155,Al2O3,133,2.0003,8.425,225.62,0.23815788,406.268,3.2,1523,113
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1773,113
Ni0.95Ti0.05,Al2O3,125.8,1.8915,7.7,223.45,0.565626092,406.268,3.2,1773,83
Ni0.936Ti0.064,Al2O3,126.304,1.88632,7.616,223.016,0.557290881,406.268,3.2,1773,72
Ni0.871Ti0.129,Al2O3,128.644,1.86227,7.226,221.001,0.518591691,406.268,3.2,1773,63
Ni0.852Ti0.148,Al2O3,129.328,1.85524,7.112,220.412,0.507279619,406.268,3.2,1773,61
Ni0.803Ti0.197,Al2O3,131.092,1.83711,6.818,218.893,0.478106383,406.268,3.2,1773,50
Ni0.74Ti0.26,Al2O3,133.36,1.8138,6.44,216.94,0.440597937,406.268,3.2,1773,40
Ni0.9Mo0.1,Al2O3,127,1.935,7.7,225.4,0.53585523,406.268,3.2,1773,108
Ni0.861Mo0.096Ti0.043,Al2O3,128.428,1.91809,7.454,224.051,0.512635806,406.268,3.2,1773,88
Ni0.81Mo0.09Ti0.1,Al2O3,130.3,1.8955,7.13,222.26,0.48227196,406.268,3.2,1773,68
Ni0.78Mo0.087Ti0.133,Al2O3,131.398,1.88254,6.941,221.225,0.464410863,406.268,3.2,1773,59
